Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.')",0.7831310956707708,1.8076920590992729,0.07962319604564258,0.14311657442391973,2
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.')",0.8838971452344977,1.941081171579595,0.030209197464315093,0.11770754077155139,2
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Effluent..MPN.100mL.')",0.8630544979299264,1.525233543439981,0.0275846505139378,0.09475735087266017,2
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",0.7655772099203461,1.9001991102951414,0.03145971480328467,0.1637185146000162,2
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Effluent..MPN.100mL.')",0.7672901022336109,1.67487815616616,0.048042176773985465,0.19085373125225866,2
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.')",0.8259807876009063,1.9357706062078008,0.0854779263680218,0.15274721066418812,2
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.')",0.934343098267911,1.9742682697005036,0.05918113387779817,0.06864889633349962,2
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.')",0.8292674522873353,1.991075205853519,0.06661124154613475,0.1327561137717756,2
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.')",0.8081657985421822,1.9654019033663974,0.03850489533357409,0.12595394482560032,2
"('Chlorine.Dosage..L.d.', 'TSS.Pre.chlorination..ppm.')",0.9541205743047106,1.8924081678499416,0.04393207302060805,0.08952714826000803,2
"('Chlorine.Dosage..L.d.', 'pH.Pre.chlorination')",0.8053704759824785,1.9748190671890238,0.04740076770280294,0.12779259848412924,2
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.')",0.6511479302496261,1.8044828661883154,0.05203981553784241,0.13953072953053536,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Effluent..MPN.100mL.')",0.5815330103381353,1.4233301068119626,0.06435386398488015,0.0975249477053014,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",0.6635872287210077,1.7449548295895352,0.042620492706836696,0.1453792531882774,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Effluent..MPN.100mL.')",0.5182138223703248,1.607995012408788,0.03440540297814455,0.1976011216586882,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.')",0.6533090875706982,1.9270917532824972,0.08172149476007402,0.18307513960103244,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.')",0.7162220397622032,1.842322085934546,0.07019227709346375,0.16959687399629303,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.')",0.6659315938430143,1.9322201956087657,0.06951562266833457,0.12433567740994943,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.')",0.6773381626691246,1.8603428869652643,0.0633374871466698,0.08029257747406536,3
